# pinned_commit	a3d8c67ed91d58e197b8c978ddcc00ba96f87c29
# generated_by	scripts/coverage-audit.ps1 -UpdateIndex
path	line	family_id	kind	declaration	visibility
GameTheory/Auctions/Knapsack/Basic.lean	915	M-AUCT	theorem	natFractionalGreedyValue_le_integralGreedyValue_plus_highest	private
GameTheory/Auctions/Knapsack/Basic.lean	936	M-AUCT	theorem	dynamicProgrammingOptimalAllocation_fractionalFeasible	public
GameTheory/Auctions/Knapsack/Basic.lean	955	M-AUCT	theorem	integralGreedy_halfApprox_dpOptimal	public
GameTheory/Auctions/ReserveVickrey.lean	30	M-AUCT	def	reserveVickreyClearingPrice	public
GameTheory/Auctions/ReserveVickrey.lean	37	M-AUCT	def	reserveVickreyWins	public
GameTheory/Auctions/ReserveVickrey.lean	42	M-AUCT	theorem	reserveVickreyClearingPrice_update_self	public
GameTheory/Auctions/ReserveVickrey.lean	50	M-AUCT	theorem	bid_le_maxOtherBid_of_ne	public
GameTheory/Auctions/ReserveVickrey.lean	63	M-AUCT	theorem	reserveVickreyWins_unique	public
GameTheory/Auctions/ReserveVickrey.lean	83	M-AUCT	def	reserveVickreyAllocation	public
GameTheory/Auctions/ReserveVickrey.lean	93	M-AUCT	theorem	allocation_eq_some_iff	public
GameTheory/Auctions/ReserveVickrey.lean	116	M-AUCT	theorem	allocation_eq_none_iff	public
GameTheory/Auctions/ReserveVickrey.lean	132	M-AUCT	theorem	clearingPrice_eq_max_reserve_excluding	public
GameTheory/Auctions/ReserveVickrey.lean	140	M-AUCT	theorem	clearingPrice_lt_bid_of_allocation_eq_some	public
GameTheory/Auctions/ReserveVickrey.lean	148	M-AUCT	theorem	clearingPrice_le_bid_of_allocation_eq_some	public
GameTheory/Auctions/ReserveVickrey.lean	154	M-AUCT	def	reserveVickreyValue	public
GameTheory/Auctions/ReserveVickrey.lean	161	M-AUCT	def	reserveVickreyPayment	public
GameTheory/Auctions/ReserveVickrey.lean	170	M-AUCT	theorem	payment_of_allocation_eq_some	public
GameTheory/Auctions/ReserveVickrey.lean	178	M-AUCT	theorem	payment_of_allocation_ne_some	public
GameTheory/Auctions/ReserveVickrey.lean	185	M-AUCT	theorem	payment_le_bid_of_allocation_eq_some	public
GameTheory/Auctions/ReserveVickrey.lean	193	M-AUCT	def	reserveVickreyUtility	public
GameTheory/Auctions/ReserveVickrey.lean	201	M-AUCT	theorem	utility_winner	public
GameTheory/Auctions/ReserveVickrey.lean	209	M-AUCT	theorem	utility_loser	public
GameTheory/Auctions/ReserveVickrey.lean	224	M-AUCT	theorem	reserveVickreyUtility_eq_if_wins	public
GameTheory/Auctions/ReserveVickrey.lean	241	M-AUCT	theorem	utility_nonneg	public
GameTheory/Auctions/ReserveVickrey.lean	253	M-AUCT	theorem	truthful_weakly_dominant	public
GameTheory/Auctions/ReserveVickrey.lean	276	M-AUCT	def	reserveVickreyGame	public
GameTheory/Auctions/ReserveVickrey.lean	283	M-AUCT	theorem	reserveVickreyGame_eu	public
GameTheory/Auctions/ReserveVickrey.lean	292	M-AUCT	theorem	valuation_is_dominant	public
GameTheory/Auctions/ReserveVickrey.lean	300	M-AUCT	theorem	mechanism_isDSIC	public
GameTheory/Auctions/ReserveVickrey.lean	306	M-AUCT	theorem	reserveVickrey_truthful_isNash	public
GameTheory/Auctions/VCG.lean	46	M-AUCT	structure	VCGSetup	public
GameTheory/Auctions/VCG.lean	71	M-AUCT	def	vcgPayment	public
GameTheory/Auctions/VCG.lean	76	M-AUCT	def	trueUtility	public
GameTheory/Auctions/VCG.lean	80	M-AUCT	theorem	trueUtility_eq	public
GameTheory/Auctions/VCG.lean	93	M-AUCT	theorem	vcg_truthful	public
GameTheory/Auctions/VCG.lean	124	M-AUCT	def	toInformationalGame	public
GameTheory/Auctions/VCG.lean	130	M-AUCT	def	truthfulStrategy	public
GameTheory/Auctions/VCG.lean	133	M-AUCT	theorem	toInformationalGame_play_truthful	public
GameTheory/Auctions/VCG.lean	139	M-AUCT	theorem	truthfulStrategy_isExPostEq	public
GameTheory/Auctions/Vickrey.lean	35	M-AUCT	def	vickreyPayoff	public
GameTheory/Auctions/Vickrey.lean	40	M-AUCT	theorem	vickrey_truthful_dominant	public
GameTheory/Auctions/Vickrey.lean	60	M-AUCT	def	vickreyGame	public
GameTheory/Auctions/Vickrey.lean	65	M-AUCT	theorem	vickrey_truthful_isDominant	public
GameTheory/Auctions/Vickrey.lean	73	M-AUCT	theorem	vickrey_truthful_isNash	public
GameTheory/Basic.lean	23	S-FOUND	abbrev	Payoff	public
GameTheory/Concepts/Classes/EvolutionaryStability.lean	40	D-EVOL	def	IsESS	public
GameTheory/Concepts/Classes/EvolutionaryStability.lean	47	D-EVOL	def	IsNSS	public
GameTheory/Concepts/Classes/EvolutionaryStability.lean	52	D-EVOL	theorem	IsESS.isNSS	public
GameTheory/Concepts/Classes/EvolutionaryStability.lean	60	D-EVOL	theorem	IsESS.nash_condition	public
GameTheory/Concepts/Classes/EvolutionaryStability.lean	65	D-EVOL	theorem	IsESS.stability	public
GameTheory/Concepts/Classes/EvolutionaryStability.lean	71	D-EVOL	theorem	isESS_of_strict_nash	public
GameTheory/Concepts/Classes/EvolutionaryStability.lean	81	D-EVOL	theorem	IsESS.strict_against_other_ess	public
GameTheory/Concepts/Classes/EvolutionaryStability.lean	98	D-EVOL	def	symmetricEU	public
GameTheory/Concepts/Classes/EvolutionaryStability.lean	104	D-EVOL	theorem	IsESS.isNash_symmetric	public
GameTheory/Concepts/Classes/SymmetricGame.lean	41	S-FOUND	theorem	pmfPi_const_perm_apply	public
GameTheory/Concepts/Classes/SymmetricGame.lean	61	S-FOUND	def	IsSymmetricEU	public
GameTheory/Concepts/Classes/SymmetricGame.lean	66	S-FOUND	theorem	IsSymmetricEU.apply_perm	public
GameTheory/Concepts/Classes/SymmetricGame.lean	74	S-FOUND	def	symmetricProfile	public
GameTheory/Concepts/Classes/SymmetricGame.lean	77	S-FOUND	theorem	symmetricProfile_comp	public
GameTheory/Concepts/Classes/SymmetricGame.lean	82	S-FOUND	def	profilePerm	public
GameTheory/Concepts/Classes/SymmetricGame.lean	95	S-FOUND	theorem	isSymmetricEU_eu_eq	public
GameTheory/Concepts/Classes/SymmetricGame.lean	109	S-FOUND	theorem	ofEU_mixedExtension_eu_eq_ofPureEU	public
GameTheory/Concepts/Classes/SymmetricGame.lean	141	S-FOUND	theorem	IsSymmetricEU.ofPureEU_mixed	public
GameTheory/Concepts/Classes/SymmetricGame.lean	190	S-FOUND	theorem	isSymmetricEU_nash_perm	public
GameTheory/Concepts/Classes/SymmetricGame.lean	217	S-FOUND	theorem	symmetric_mixed_nash_exists_ofPureEU	public
GameTheory/Concepts/Classes/SymmetricGame.lean	342	S-FOUND	theorem	symmetric_mixed_nash_exists	public
GameTheory/Concepts/Classes/TeamGame.lean	38	S-FOUND	theorem	IsTeamGame.eu_eq	public
GameTheory/Concepts/Classes/TeamGame.lean	47	S-FOUND	theorem	IsTeamGame.eu_eq_update	public
GameTheory/Concepts/Classes/TeamGame.lean	60	S-FOUND	theorem	IsTeamGame.nash_deviation_nonimproving	public
GameTheory/Concepts/Communication/Babbling.lean	32	D-COMM	theorem	babbling_nashFor	public
GameTheory/Concepts/Communication/Babbling.lean	50	D-COMM	theorem	babbling_nashFor	public
GameTheory/Concepts/Communication/Babbling.lean	66	D-COMM	theorem	babblingDeviationPreservingFor	public
GameTheory/Concepts/Communication/Babbling.lean	78	D-COMM	theorem	babbling_nashFor	public
GameTheory/Concepts/Communication/Babbling.lean	93	D-COMM	theorem	babbling_nashFor	public
GameTheory/Concepts/Communication/Babbling.lean	108	D-COMM	theorem	babbling_nash	public
GameTheory/Concepts/Communication/Babbling.lean	138	D-COMM	abbrev	CheapTalkExtension	public
GameTheory/Concepts/Communication/Babbling.lean	145	D-COMM	def	game	public
GameTheory/Concepts/Communication/Babbling.lean	155	D-COMM	theorem	babbling_eu	public
GameTheory/Concepts/Communication/Babbling.lean	170	D-COMM	theorem	babbling_nash	public
GameTheory/Concepts/Communication/Babbling.lean	184	D-COMM	theorem	actionProfile_isNash_of_nash	public
GameTheory/Concepts/Communication/Babbling.lean	198	D-COMM	theorem	outcomeKernel_eq_base_nash_outcomeKernel_of_nash	public
GameTheory/Concepts/Communication/Babbling.lean	209	D-COMM	theorem	exists_nash_outcomeKernel_iff	public
